名稱zh,名稱en,國籍zh,國籍en,能力,潛力,偏好位置總數,偏好位置1,偏好位置2,偏好位置3,年齡,Hits,球隊zh,球隊en,租借球隊zh,租借球隊en
Roberto Firmino,Roberto Firmino,巴西,Brazil,88,88,1,CF,,,28,13,利物浦,Liverpool,,
Kalidou Koulibaly,Kalidou Koulibaly,塞內加爾,Senegal,88,90,1,CB,,,29,5,拿玻里,Napoli,,
Casemiro,Casemiro,巴西,Brazil,88,89,1,CDM,,,28,8,皇家馬德里,Real Madrid,,
De Gea,De Gea,西班牙,Spain,88,88,1,GK,,,29,7,曼聯,Manchester United,,
Thibaut Courtois,Thibaut Courtois,比利時,Belgium,88,89,1,GK,,,28,10,皇家馬德里,Real Madrid,,
Sergio Busquets,Sergio Busquets,西班牙,Spain,88,88,1,CDM,,,31,7,巴塞隆拿,FC Barcelona,,
Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,加彭,Gabon,88,88,2,ST,LM,,31,4,阿仙奴,Arsenal,,
Karim Benzema,Karim Benzema,法國,France,88,88,2,CF,ST,,32,12,皇家馬德里,Real Madrid,,
Samir Handanovič,Samir Handanovič,斯洛文尼亞,Slovenia,88,88,1,GK,,,35,2,國際米蘭,Inter,,
Piqué,Piqué,西班牙,Spain,88,88,1,CB,,,33,14,巴塞隆拿,FC Barcelona,,
Giorgio Chiellini,Giorgio Chiellini,意大利,Italy,88,88,1,CB,,,35,5,祖雲達斯,Juventus,,
Bernardo Silva,Bernardo Silva,葡萄牙,Portugal,87,90,3,RW,CAM,CM,25,8,曼城,Manchester City,,
Joshua Kimmich,Joshua Kimmich,德國,Germany,87,90,3,CDM,RB,CM,25,19,拜仁慕尼黑,FC Bayern München,,
Aymeric Laporte,Aymeric Laporte,法國,France,87,90,1,CB,,,26,7,曼城,Manchester City,,
Paulo Dybala,Paulo Dybala,阿根廷,Argentina,87,90,2,CF,CAM,,26,30,祖雲達斯,Juventus,,
Heung Min Son,Heung Min Son,大韓民國,Korea Republic,87,87,2,LM,CF,,27,19,熱刺,Tottenham Hotspur,,
Marco Verratti,Marco Verratti,意大利,Italy,87,88,2,CM,CDM,,27,13,巴黎聖日耳門,Paris Saint-Germain,,
Paul Pogba,Paul Pogba,法國,France,87,88,2,CM,CDM,,27,25,曼聯,Manchester United,,
Keylor Navas,Keylor Navas,哥斯達黎加,Costa Rica,87,87,1,GK,,,33,2,巴黎聖日耳門,Paris Saint-Germain,,
Ciro Immobile,Ciro Immobile,意大利,Italy,87,87,1,ST,,,30,9,拉素,Lazio,,
Christian Eriksen,Christian Eriksen,丹麥,Denmark,87,87,3,CAM,CM,RM,28,10,國際米蘭,Inter,,
Parejo,Parejo,西班牙,Spain,87,87,1,CM,,,31,3,華倫西亞,Valencia CF,,
Marco Reus,Marco Reus,德國,Germany,87,87,2,CAM,CF,,31,9,多蒙特,Borussia Dortmund,,
Wojciech Szczęsny,Wojciech Szczęsny,波蘭,Poland,87,88,1,GK,,,30,7,祖雲達斯,Juventus,,
Ángel Di María,Ángel Di María,阿根廷,Argentina,87,87,2,RW,LW,,32,9,巴黎聖日耳門,Paris Saint-Germain,,
Diego Godín,Diego Godín,烏拉圭,Uruguay,87,87,1,CB,,,34,1,國際米蘭,Inter,,
Mats Hummels,Mats Hummels,德國,Germany,87,87,1,CB,,,31,5,多蒙特,Borussia Dortmund,,
Dries Mertens,Dries Mertens,比利時,Belgium,87,87,2,CF,ST,,33,8,拿玻里,Napoli,,
David Silva,David Silva,西班牙,Spain,87,87,2,CAM,CM,,34,17,曼城,Manchester City,,
Hugo Lloris,Hugo Lloris,法國,France,87,87,1,GK,,,33,7,熱刺,Tottenham Hotspur,,
Thiago Silva,Thiago Silva,巴西,Brazil,87,87,1,CB,,,35,6,巴黎聖日耳門,Paris Saint-Germain,,
Jadon Sancho,Jadon Sancho,英格蘭,England,86,94,3,RM,LM,CAM,20,45,多蒙特,Borussia Dortmund,,
Milan Škriniar,Milan Škriniar,斯洛伐克,Slovakia,86,90,1,CB,,,25,15,國際米蘭,Inter,,
Frenkie de Jong,Frenkie de Jong,荷蘭,Netherlands,86,92,1,CM,,,23,22,巴塞隆拿,FC Barcelona,,
Leroy Sané,Leroy Sané,德國,Germany,86,90,1,LW,,,24,26,曼城,Manchester City,,
Clément Lenglet,Clément Lenglet,法國,France,86,90,1,CB,,,25,10,巴塞隆拿,FC Barcelona,,
Andrew Robertson,Andrew Robertson,蘇格蘭,Scotland,86,89,1,LB,,,26,9,利物浦,Liverpool,,
Bruno Fernandes,Bruno Fernandes,葡萄牙,Portugal,86,89,2,CAM,CM,,25,27,曼聯,Manchester United,,
Timo Werner,Timo Werner,德國,Germany,86,89,1,ST,,,24,24,RB萊比錫,RB Leipzig,,
Fabinho,Fabinho,巴西,Brazil,86,88,1,CDM,,,26,7,利物浦,Liverpool,,
Jamie Vardy,Jamie Vardy,英格蘭,England,86,86,1,ST,,,33,11,李斯特城,Leicester City,,
Hakim Ziyech,Hakim Ziyech,摩洛哥,Morocco,86,87,2,CAM,RW,,27,28,阿積士,Ajax,,
Marquinhos,Marquinhos,巴西,Brazil,86,90,2,CB,CDM,,26,8,巴黎聖日耳門,Paris Saint-Germain,,
Riyad Mahrez,Riyad Mahrez,阿爾及利亞,Algeria,86,86,2,RW,RM,,29,15,曼城,Manchester City,,
Raphaël Varane,Raphaël Varane,法國,France,86,89,1,CB,,,27,10,皇家馬德里,Real Madrid,,
Mauro Icardi,Mauro Icardi,阿根廷,Argentina,86,87,1,ST,,,27,8,巴黎聖日耳門,Paris Saint-Germain,國際米蘭,On loan from: Inter
Lorenzo Insigne,Lorenzo Insigne,意大利,Italy,86,86,3,CF,LW,LM,29,9,拿玻里,Napoli,,
Koke,Koke,西班牙,Spain,86,86,3,CM,RM,LM,28,10,馬德里體育會,Atlético Madrid,,
Romelu Lukaku,Romelu Lukaku,比利時,Belgium,86,87,1,ST,,,27,13,國際米蘭,Inter,,
Thiago,Thiago,西班牙,Spain,86,86,2,CM,CDM,,29,14,拜仁慕尼黑,FC Bayern München,,
Jordi Alba,Jordi Alba,西班牙,Spain,86,86,1,LB,,,31,6,巴塞隆拿,FC Barcelona,,
Leonardo Bonucci,Leonardo Bonucci,意大利,Italy,86,86,1,CB,,,33,4,祖雲達斯,Juventus,,
Toby Alderweireld,Toby Alderweireld,比利時,Belgium,86,86,1,CB,,,31,5,熱刺,Tottenham Hotspur,,
Miralem Pjanić,Miralem Pjanić,波斯尼亞和黑塞哥維那,Bosnia & Herzegovina,86,86,2,CM,CDM,,30,10,祖雲達斯,Juventus,,
Edinson Cavani,Edinson Cavani,烏拉圭,Uruguay,86,86,1,ST,,,33,9,巴黎聖日耳門,Paris Saint-Germain,,
Yann Sommer,Yann Sommer,瑞士,Switzerland,86,86,1,GK,,,31,1,慕遜加柏,Borussia Mönchengladbach,,
Alejandro Gómez,Alejandro Gómez,阿根廷,Argentina,86,86,3,CAM,CF,ST,32,7,阿特蘭大,Atalanta,,
Matthijs de Ligt,Matthijs de Ligt,荷蘭,Netherlands,85,92,1,CB,,,20,21,祖雲達斯,Juventus,,
Rodri,Rodri,西班牙,Spain,85,89,2,CDM,CM,,24,16,曼城,Manchester City,,
Trent Alexander-Arnold,Trent Alexander-Arnold,英格蘭,England,85,90,1,RB,,,21,21,利物浦,Liverpool,,
Arthur,Arthur,巴西,Brazil,85,90,1,CM,,,23,15,巴塞隆拿,FC Barcelona,,
Gianluigi Donnarumma,Gianluigi Donnarumma,意大利,Italy,85,92,1,GK,,,21,9,AC米蘭,Milan,,
André Onana,André Onana,喀麥隆,Cameroon,85,89,1,GK,,,24,13,阿積士,Ajax,,
Sergej Milinković-Savić,Sergej Milinković-Savić,塞爾維亞,Serbia,85,90,3,CM,CDM,CAM,25,18,拉素,Lazio,,
Nabil Fekir,Nabil Fekir,法國,France,85,87,3,CAM,RM,ST,26,8,貝迪斯,Real Betis,,
José María Giménez,José María Giménez,烏拉圭,Uruguay,85,89,1,CB,,,25,5,馬德里體育會,Atlético Madrid,,
Niklas Süle,Niklas Süle,德國,Germany,85,90,1,CB,,,24,4,拜仁慕尼黑,FC Bayern München,,
Saúl,Saúl,西班牙,Spain,85,89,3,CM,LM,LB,25,10,馬德里體育會,Atlético Madrid,,
Serge Gnabry,Serge Gnabry,德國,Germany,85,87,3,RM,LM,RW,24,17,拜仁慕尼黑,FC Bayern München,,
Samuel Umtiti,Samuel Umtiti,法國,France,85,88,1,CB,,,26,8,巴塞隆拿,FC Barcelona,,
Carvajal,Carvajal,西班牙,Spain,85,85,1,RB,,,28,6,皇家馬德里,Real Madrid,,
Luis Alberto,Luis Alberto,西班牙,Spain,85,86,3,CAM,CM,CF,27,7,拉素,Lazio,,
Stefan de Vrij,Stefan de Vrij,荷蘭,Netherlands,85,86,1,CB,,,28,3,國際米蘭,Inter,,
Pizzi,Pizzi,葡萄牙,Portugal,85,85,2,RM,CM,,30,2,賓菲加,SL Benfica,,
Isco,Isco,西班牙,Spain,85,85,3,CAM,CM,LW,28,8,皇家馬德里,Real Madrid,,
Iago Aspas,Iago Aspas,西班牙,Spain,85,85,2,ST,RW,,32,7,切爾達,RC Celta,,
Bernd Leno,Bernd Leno,德國,Germany,85,87,1,GK,,,28,3,阿仙奴,Arsenal,,
Thomas Müller,Thomas Müller,德國,Germany,85,85,3,CAM,RM,RW,30,9,拜仁慕尼黑,FC Bayern München,,
Coutinho,Coutinho,巴西,Brazil,85,85,3,CAM,LW,CM,28,15,拜仁慕尼黑,FC Bayern München,巴塞隆拿,On loan from: FC Barcelona
Roman Bürki,Roman Bürki,瑞士,Switzerland,85,86,1,GK,,,29,4,多蒙特,Borussia Dortmund,,
Paulinho,Paulinho,巴西,Brazil,85,85,3,CM,CAM,CDM,31,2,廣州恆大淘寶足球俱樂部,Guangzhou Evergrande Taobao FC,,
Péter Gulácsi,Péter Gulácsi,匈牙利,Hungary,85,86,1,GK,,,30,3,RB萊比錫,RB Leipzig,,
Jordan Henderson,Jordan Henderson,英格蘭,England,85,85,2,CM,CDM,,30,6,利物浦,Liverpool,,
Georginio Wijnaldum,Georginio Wijnaldum,荷蘭,Netherlands,85,85,2,CM,CDM,,29,7,利物浦,Liverpool,,
Axel Witsel,Axel Witsel,比利時,Belgium,85,85,2,CDM,CM,,31,4,多蒙特,Borussia Dortmund,,
Gareth Bale,Gareth Bale,威爾斯,Wales,85,85,3,RW,ST,LW,30,13,皇家馬德里,Real Madrid,,
Jan Vertonghen,Jan Vertonghen,比利時,Belgium,85,85,2,CB,LB,,33,1,熱刺,Tottenham Hotspur,,
Ivan Rakitić,Ivan Rakitić,克羅地亞,Croatia,85,85,1,CM,,,32,5,巴塞隆拿,FC Barcelona,,
Gonzalo Higuaín,Gonzalo Higuaín,阿根廷,Argentina,85,85,1,ST,,,32,5,祖雲達斯,Juventus,,
Fernandinho,Fernandinho,巴西,Brazil,85,85,2,CB,CDM,,35,6,曼城,Manchester City,,
Zlatan Ibrahimović,Zlatan Ibrahimović,瑞典,Sweden,85,85,1,ST,,,38,30,AC米蘭,Milan,,
Kai Havertz,Kai Havertz,德國,Germany,84,93,2,CAM,RM,,21,45,利華古遜,Bayer 04 Leverkusen,,
Marcus Rashford,Marcus Rashford,英格蘭,England,84,89,2,LM,ST,,22,30,曼聯,Manchester United,,
Lautaro Martínez,Lautaro Martínez,阿根廷,Argentina,84,91,1,ST,,,22,34,國際米蘭,Inter,,
Wilfred Ndidi,Wilfred Ndidi,尼日利亞,Nigeria,84,88,2,CDM,CM,,23,12,李斯特城,Leicester City,,
Lucas Hernández,Lucas Hernández,法國,France,84,89,2,CB,LB,,24,16,拜仁慕尼黑,FC Bayern München,,
Kingsley Coman,Kingsley Coman,法國,France,84,88,3,LM,RM,LW,24,18,拜仁慕尼黑,FC Bayern München,,
Alex Telles,Alex Telles,巴西,Brazil,84,85,1,LB,,,27,6,波圖,FC Porto,,
Julian Brandt,Julian Brandt,德國,Germany,84,88,3,CAM,CM,LM,24,12,多蒙特,Borussia Dortmund,,
Ricardo Pereira,Ricardo Pereira,葡萄牙,Portugal,84,86,1,RB,,,26,5,李斯特城,Leicester City,,
Thomas Partey,Thomas Partey,迦納,Ghana,84,87,2,CM,CDM,,27,14,馬德里體育會,Atlético Madrid,,
Leon Goretzka,Leon Goretzka,德國,Germany,84,88,3,CM,CAM,CDM,25,11,拜仁慕尼黑,FC Bayern München,,
Felipe,Felipe,巴西,Brazil,84,84,1,CB,,,31,6,馬德里體育會,Atlético Madrid,,
Mateo Kovačić,Mateo Kovačić,克羅地亞,Croatia,84,87,1,CM,,,26,7,車路士,Chelsea,,
Jorginho,Jorginho,意大利,Italy,84,84,2,CM,CDM,,28,11,車路士,Chelsea,,
Memphis Depay,Memphis Depay,荷蘭,Netherlands,84,87,3,CF,LW,CAM,26,8,里昂,Olympique Lyonnais,,
Josip Iličić,Josip Iličić,斯洛文尼亞,Slovenia,84,84,2,CF,ST,,32,10,阿特蘭大,Atalanta,,
Allan,Allan,巴西,Brazil,84,84,1,CM,,,29,1,拿玻里,Napoli,,
Francesco Acerbi,Francesco Acerbi,意大利,Italy,84,84,1,CB,,,32,3,拉素,Lazio,,
Anthony Lopes,Anthony Lopes,葡萄牙,Portugal,84,86,1,GK,,,29,0,里昂,Olympique Lyonnais,,
Wissam Ben Yedder,Wissam Ben Yedder,法國,France,84,84,1,ST,,,29,12,摩納哥,AS Monaco Football Club SA,,
James Rodríguez,James Rodríguez,哥倫比亞,Colombia,84,84,3,CAM,CM,RM,28,13,皇家馬德里,Real Madrid,,
Neto,Neto,巴西,Brazil,84,85,1,GK,,,30,2,巴塞隆拿,FC Barcelona,,
Idrissa Gueye,Idrissa Gueye,塞內加爾,Senegal,84,84,2,CDM,CM,,30,2,巴黎聖日耳門,Paris Saint-Germain,,
Alexandre Lacazette,Alexandre Lacazette,法國,France,84,84,1,ST,,,29,6,阿仙奴,Arsenal,,
Kostas Manolas,Kostas Manolas,希臘,Greece,84,85,1,CB,,,29,5,拿玻里,Napoli,,
Alex Sandro,Alex Sandro,巴西,Brazil,84,84,2,LB,LM,,29,3,祖雲達斯,Juventus,,
Douglas Costa,Douglas Costa,巴西,Brazil,84,84,3,LM,RW,LW,29,7,祖雲達斯,Juventus,,
Canales,Canales,西班牙,Spain,84,84,3,CAM,CM,LM,29,3,貝迪斯,Real Betis,,
Oscar,Oscar,巴西,Brazil,84,84,3,CAM,CM,LW,28,10,上海上港集團足球俱樂部,Shanghai SIPG FC,,
İlkay Gündoğan,İlkay Gündoğan,德國,Germany,84,84,2,CM,CDM,,29,3,曼城,Manchester City,,
José Callejón,José Callejón,西班牙,Spain,84,84,2,RM,RW,,33,3,拿玻里,Napoli,,
Azpilicueta,Azpilicueta,西班牙,Spain,84,84,3,RB,LB,CB,30,5,車路士,Chelsea,,
Arturo Vidal,Arturo Vidal,智利,Chile,84,84,3,CM,CDM,CAM,33,9,巴塞隆拿,FC Barcelona,,
Edin Džeko,Edin Džeko,波斯尼亞和黑塞哥維那,Bosnia & Herzegovina,84,84,1,ST,,,34,3,羅馬,Roma,,
Éver Banega,Éver Banega,阿根廷,Argentina,84,84,2,CM,CDM,,32,8,西維爾,Sevilla FC,,
Radja Nainggolan,Radja Nainggolan,比利時,Belgium,84,84,3,CAM,CM,CF,32,5,卡利亞里,Cagliari,國際米蘭,On loan from: Inter
Marcelo,Marcelo,巴西,Brazil,84,84,1,LB,,,32,11,皇家馬德里,Real Madrid,,
Lucas Leiva,Lucas Leiva,巴西,Brazil,84,84,1,CDM,,,33,3,拉素,Lazio,,
Blaise Matuidi,Blaise Matuidi,法國,France,84,84,2,CDM,CM,,33,4,祖雲達斯,Juventus,,
Salvatore Sirigu,Salvatore Sirigu,意大利,Italy,84,84,1,GK,,,33,0,拖連奴,Torino,,
João Moutinho,João Moutinho,葡萄牙,Portugal,84,84,1,CM,,,33,5,狼隊,Wolverhampton Wanderers,,
Ousmane Dembélé,Ousmane Dembélé,法國,France,83,90,2,LW,RW,,23,12,巴塞隆拿,FC Barcelona,,
Ronaldo Cabrais,Ronaldo Cabrais,巴西,Brazil,83,83,2,RW,CAM,,28,5,甘美奧,Grêmio,,
Josué Chiamulera,Josué Chiamulera,巴西,Brazil,83,83,1,CB,,,28,1,甘美奧,Grêmio,,
Louri Beretta,Louri Beretta,巴西,Brazil,83,83,2,ST,CF,,28,5,明尼路,Atlético Mineiro,,
Oyarzabal,Oyarzabal,西班牙,Spain,83,89,2,LW,RW,,23,11,皇家蘇斯達,Real Sociedad,,
Fabián,Fabián,西班牙,Spain,83,89,1,CM,,,24,5,拿玻里,Napoli,,
Donny van de Beek,Donny van de Beek,荷蘭,Netherlands,83,87,2,CM,CAM,,23,14,阿積士,Ajax,,
Pau López,Pau López,西班牙,Spain,83,88,1,GK,,,25,1,羅馬,Roma,,
Dakonam Djené,Dakonam Djené,多哥,Togo,83,84,1,CB,,,28,3,基達菲,Getafe CF,,
Rafa,Rafa,葡萄牙,Portugal,83,84,2,LM,RM,,27,3,賓菲加,SL Benfica,,
Andrej Kramarić,Andrej Kramarić,克羅地亞,Croatia,83,83,2,ST,CAM,,29,0,賀芬咸,TSG 1899 Hoffenheim,,
Marcelo Brozović,Marcelo Brozović,克羅地亞,Croatia,83,85,2,CDM,CM,,27,6,國際米蘭,Inter,,
Duván Zapata,Duván Zapata,哥倫比亞,Colombia,83,83,1,ST,,,29,9,阿特蘭大,Atalanta,,
Anderson Talisca,Anderson Talisca,巴西,Brazil,83,86,2,CAM,RW,,26,2,廣州恆大淘寶足球俱樂部,Guangzhou Evergrande Taobao FC,,
Thomas Strakosha,Thomas Strakosha,阿爾巴尼亞,Albania,83,88,1,GK,,,25,2,拉素,Lazio,,
Anthony Martial,Anthony Martial,法國,France,83,87,1,ST,,,24,16,曼聯,Manchester United,,
Nicolás Tagliafico,Nicolás Tagliafico,阿根廷,Argentina,83,84,1,LB,,,27,8,阿積士,Ajax,,
Dele Alli,Dele Alli,英格蘭,England,83,88,2,CAM,CM,,24,11,熱刺,Tottenham Hotspur,,
Alessio Romagnoli,Alessio Romagnoli,意大利,Italy,83,89,1,CB,,,25,6,AC米蘭,Milan,,
Grimaldo,Grimaldo,西班牙,Spain,83,87,1,LB,,,24,5,賓菲加,SL Benfica,,
Raphaël Guerreiro,Raphaël Guerreiro,葡萄牙,Portugal,83,84,3,LM,LB,CM,26,6,多蒙特,Borussia Dortmund,,
Quincy Promes,Quincy Promes,荷蘭,Netherlands,83,83,2,LW,CAM,,28,5,阿積士,Ajax,,
Filip Kostić,Filip Kostić,塞爾維亞,Serbia,83,83,2,LM,LWB,,27,1,法蘭克福,Eintracht Frankfurt,,
Yannick Carrasco,Yannick Carrasco,比利時,Belgium,83,84,1,LM,,,26,7,馬德里體育會,Atlético Madrid,大連一方足球俱樂部隊,On loan from: Dalian YiFang FC
Kepa,Kepa,西班牙,Spain,83,87,1,GK,,,25,9,車路士,Chelsea,,
Edin Višća,Edin Višća,波斯尼亞和黑塞哥維那,Bosnia & Herzegovina,83,83,1,RM,,,30,3,伊斯坦堡,Medipol Başakşehir FK,,
Arkadiusz Milik,Arkadiusz Milik,波蘭,Poland,83,86,1,ST,,,26,9,拿玻里,Napoli,,
Portu,Portu,西班牙,Spain,83,83,3,RW,RM,CF,28,2,皇家蘇斯達,Real Sociedad,,
Florian Thauvin,Florian Thauvin,法國,France,83,83,2,RW,RM,,27,3,馬賽,Olympique de Marseille,,
Marcel Sabitzer,Marcel Sabitzer,奧地利,Austria,83,85,2,CAM,CM,,26,8,RB萊比錫,RB Leipzig,,
Raúl Jiménez,Raúl Jiménez,墨西哥,Mexico,83,83,1,ST,,,29,19,狼隊,Wolverhampton Wanderers,,
Stefan Savić,Stefan Savić,黑山共和國,Montenegro,83,84,1,CB,,,29,4,馬德里體育會,Atlético Madrid,,
Thorgan Hazard,Thorgan Hazard,比利時,Belgium,83,83,3,LM,RM,CF,27,8,多蒙特,Borussia Dortmund,,
Harry Maguire,Harry Maguire,英格蘭,England,83,86,1,CB,,,27,9,曼聯,Manchester United,,
Gabriel Paulista,Gabriel Paulista,巴西,Brazil,83,84,1,CB,,,29,2,華倫西亞,Valencia CF,,
Morata,Morata,西班牙,Spain,83,84,1,ST,,,27,8,馬德里體育會,Atlético Madrid,車路士,On loan from: Chelsea
Lucas Digne,Lucas Digne,法國,France,83,86,1,LB,,,26,9,愛華頓,Everton,,
Dušan Tadić,Dušan Tadić,塞爾維亞,Serbia,83,83,3,CF,LW,CAM,31,4,阿積士,Ajax,,
Charles Aránguiz,Charles Aránguiz,智利,Chile,83,83,2,CM,CDM,,31,6,利華古遜,Bayer 04 Leverkusen,,
Pablo Sarabia,Pablo Sarabia,西班牙,Spain,83,84,2,CAM,RW,,28,2,巴黎聖日耳門,Paris Saint-Germain,,
Wilfried Zaha,Wilfried Zaha,象牙海岸,Ivory Coast,83,83,2,LM,CF,,27,7,水晶宮,Crystal Palace,,
Rodrigo,Rodrigo,西班牙,Spain,83,83,1,ST,,,29,5,華倫西亞,Valencia CF,,
Bartra,Bartra,西班牙,Spain,83,84,2,CB,CDM,,29,0,貝迪斯,Real Betis,,
David Alaba,David Alaba,奧地利,Austria,83,84,2,CB,LB,,28,10,拜仁慕尼黑,FC Bayern München,,
Joel Matip,Joel Matip,喀麥隆,Cameroon,83,84,1,CB,,,28,1,利物浦,Liverpool,,
Juan Cuadrado,Juan Cuadrado,哥倫比亞,Colombia,83,83,3,RM,RW,RB,32,18,祖雲達斯,Juventus,,
Koen Casteels,Koen Casteels,比利時,Belgium,83,85,1,GK,,,28,1,禾夫斯堡,VfL Wolfsburg,,
Lukáš Hrádecký,Lukáš Hrádecký,芬蘭,Finland,83,83,1,GK,,,30,1,利華古遜,Bayer 04 Leverkusen,,
Daley Blind,Daley Blind,荷蘭,Netherlands,83,83,3,CB,CDM,LB,30,0,阿積士,Ajax,,
Muniain,Muniain,西班牙,Spain,83,83,3,LW,CAM,RW,27,2,畢爾包,Athletic Club,,
Kevin Trapp,Kevin Trapp,德國,Germany,83,83,1,GK,,,29,1,法蘭克福,Eintracht Frankfurt,,
Kyle Walker,Kyle Walker,英格蘭,England,83,83,1,RB,,,30,7,曼城,Manchester City,,
Aaron Ramsey,Aaron Ramsey,威爾斯,Wales,83,83,2,CM,CAM,,29,3,祖雲達斯,Juventus,,
Marko Arnautović,Marko Arnautović,奧地利,Austria,83,83,1,ST,,,31,2,上海上港集團足球俱樂部,Shanghai SIPG FC,,
Max Kruse,Max Kruse,德國,Germany,83,83,2,CAM,ST,,32,1,費倫巴治,Fenerbahçe SK,,
Ivan Perišić,Ivan Perišić,克羅地亞,Croatia,83,83,2,LM,LW,,31,3,拜仁慕尼黑,FC Bayern München,國際米蘭,On loan from: Inter
Sami Khedira,Sami Khedira,德國,Germany,83,83,2,CM,CDM,,33,1,祖雲達斯,Juventus,,
Rui Patrício,Rui Patrício,葡萄牙,Portugal,83,83,1,GK,,,32,2,狼隊,Wolverhampton Wanderers,,
Mesut Özil,Mesut Özil,德國,Germany,83,83,2,CAM,RW,,31,5,阿仙奴,Arsenal,,
Marek Hamšík,Marek Hamšík,斯洛伐克,Slovakia,83,83,3,CM,CDM,CAM,32,3,大連一方足球俱樂部隊,Dalian YiFang FC,,
Ezequiel Garay,Ezequiel Garay,阿根廷,Argentina,83,83,1,CB,,,33,1,華倫西亞,Valencia CF,,
Carlos Vela,Carlos Vela,墨西哥,Mexico,83,83,3,RW,LW,CAM,31,6,洛杉磯FC,LAFC,,
Steve Mandanda,Steve Mandanda,法國,France,83,83,1,GK,,,35,1,馬賽,Olympique de Marseille,,
Kasper Schmeichel,Kasper Schmeichel,丹麥,Denmark,83,83,1,GK,,,33,2,李斯特城,Leicester City,,
Raúl Albiol,Raúl Albiol,西班牙,Spain,83,83,1,CB,,,34,1,維拉利爾,Villarreal CF,,
Santi Cazorla,Santi Cazorla,西班牙,Spain,83,83,3,CM,LM,CDM,35,1,維拉利爾,Villarreal CF,,
Gianluigi Buffon,Gianluigi Buffon,意大利,Italy,83,83,1,GK,,,42,6,祖雲達斯,Juventus,,
José María Sildero,José María Sildero,烏拉圭,Uruguay,82,82,2,CAM,RM,,28,3,自由身球員,Free Agents,,
Egidio Maestre Schetino,Egidio Maestre Schetino,烏拉圭,Uruguay,82,82,1,CB,,,28,2,自由身球員,Free Agents,,
Rúben Dias,Rúben Dias,葡萄牙,Portugal,82,88,1,CB,,,23,6,賓菲加,SL Benfica,,
Federico Valverde,Federico Valverde,烏拉圭,Uruguay,82,90,2,CM,CDM,,21,30,皇家馬德里,Real Madrid,,
